,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
8,1.0,China,307802,3709.0,5233.0,1.0,271159.0,2043.0,31410.0,112.0,213.0,4.0,160000000.0,110461.0,1448471400.0,Asia,4706.0,276796.0,9.0,3.0,,22.0
9,2.0,USA,100465087,6098.0,1104755.0,4.0,98026574.0,42355.0,1333758.0,2927.0,300070.0,3300.0,1139085054.0,3402232.0,334805269.0,North America,3.0,303.0,0.0,18.0,0.01,3984.0
10,3.0,India,44672827,194.0,530612.0,,44135687.0,,6528.0,698.0,31759.0,377.0,905301860.0,643595.0,1406631776.0,Asia,31.0,2651.0,2.0,0.1,,5.0
11,4.0,France,37677299,37675.0,158639.0,,36813088.0,3645.0,705572.0,869.0,574485.0,2419.0,271490188.0,4139547.0,65584518.0,Europe,2.0,413.0,0.0,574.0,,10758.0
12,5.0,Germany,36373164,,157495.0,,35658800.0,9200.0,556869.0,1406.0,433615.0,1878.0,122332384.0,1458359.0,83883596.0,Europe,2.0,533.0,1.0,,,6639.0
13,6.0,Brazil,35212035,5667.0,689560.0,15.0,34201418.0,,321057.0,8318.0,163508.0,3202.0,63776166.0,296146.0,215353593.0,South America,6.0,312.0,3.0,26.0,0.07,1491.0
14,7.0,S. Korea,26937516,47028.0,30369.0,39.0,25951325.0,62420.0,955822.0,481.0,524792.0,592.0,15804065.0,307892.0,51329899.0,Asia,2.0,1690.0,3.0,916.0,0.8,18621.0
15,8.0,Japan,24470557,98476.0,49178.0,142.0,20679234.0,8264.0,3742145.0,308.0,194853.0,392.0,80788710.0,643300.0,125584838.0,Asia,5.0,2554.0,2.0,784.0,1.0,29798.0
16,9.0,Italy,24260660,,181098.0,,23587105.0,,492457.0,250.0,402581.0,3005.0,257057363.0,4265608.0,60262770.0,Europe,2.0,333.0,0.0,,,8172.0
17,10.0,UK,24000101,,196821.0,,23724450.0,4262.0,78830.0,146.0,350377.0,2873.0,522526476.0,7628357.0,68497907.0,Europe,3.0,348.0,0.0,,,1151.0
